0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:39:27 +0800] "GET /student/addXsView.action HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:05:53 +0800] "GET /student/addKcView.action HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:05:55 +0800] "GET /student/kcInfo.action HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:05:56 +0800] "GET /student/addXscjView.action HTTP/1.1" 200 2765
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:05:57 +0800] "GET /student/xscjInfo.action HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:05:59 +0800] "GET /student/addKcView.action HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:06:00 +0800] "GET /student/addXsView.action HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:12:43 +0800] "GET /student/My97DatePicker/calendar.js? HTTP/1.1" 200 22044
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:12:43 +0800] "GET /student/My97DatePicker/lang/zh-cn.js HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:12:43 +0800] "GET /student/My97DatePicker/skin/default/datepicker.css HTTP/1.1" 200 3726
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:12:43 +0800] "GET /student/My97DatePicker/skin/default/img.gif HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:12:46 +0800] "POST /student/addXs.action HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:12:47 +0800] "GET /student/addXsView.action HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:12:49 +0800] "GET /student/xsInfo.action HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:12:50 +0800] "GET /student/addKcView.action HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [03/Jul/2014:23:12:50 +0800] "GET /student/kcInfo.action HTTP/1.1" 200 942
